Task,Start Date,Days Required,Due Date,Status
Circuit Design,17-10-2023,8,24-10-2023,In Progress
Procurement of componets,25-10-2023,5,29-10-2023,Completed
RF Module Interfacing,30-10-2023,15,13-11-2023,Completed
GSM Module Interfacing,14-11-2023,15,28-11-2023,Completed
Camera Module,29-11-2023,7,05-12-2023,In Progress
Wifi Module,06-12-2023,5,10-12-2023,Completed
Power Supply for MCUs,11-12-2023,7,17-12-2023,In Progress
Testing of Complete Hardware module,18-12-2023,5,22-12-2023,On Hold
Data Collection,23-12-2023,4,26-12-2023,In Progress
Model Training,27-12-2023,45,09-02-2024,In Progress
Model Testing and Validation,10-02-2024,10,19-02-2024,On Hold
Model Deployment,20-02-2024,3,22-02-2024,On Hold
Backend Project Initalization,23-02-2024,5,27-02-2024,In Progress
API Development,28-02-2024,25,23-03-2024,In Progress
WebSocket Development,24-03-2024,12,04-04-2024,On Hold
AI Model Integration,05-04-2024,5,09-04-2024,On Hold
User Authentication Module,10-04-2024,5,14-04-2024,On Hold
Unit testing for Backend,15-04-2024,7,21-04-2024,On Hold
Angular Project Initaliztion,22-04-2024,4,25-04-2024,In Progress
WebSocket Hub Creation,26-04-2024,10,05-05-2024,On Hold
Webpage development,06-05-2024,10,15-05-2024,On Hold
Auth Guards for authentication,16-05-2024,2,17-05-2024,On Hold
Testing Admin Dashboard,18-05-2024,7,24-05-2024,On Hold
